MachineIdentifier,ProductName,EngineVersion,AppVersion,AvSigVersion,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,PuaMode,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_ProcessorClass,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
8fc76308f18a5876c2373768f293946a,win8defender,1.1.15200.1,4.9.10586.1106,1.275.1075.0,0,7.0,0,,53447.0,1.0,1.0,1,124,29356.0,27.0,204.0,-86,windows10,x64,10.0.0.0,10586,768,th2,10586.1176.amd64fre.th2_release_sec.170913-1848,Home,1.0,0,,0.0,74.0,RequireAdmin,1.0,1.0,Convertible,Windows.Desktop,2668.0,171141.0,2.0,5.0,1992.0,,29820.0,SSD,28542.0,0,2048.0,Notebook,11.6,1366.0,768.0,Mobile,liio,0.0,10.0.10586.1176,amd64,th2_release_sec,10586,1176,Core,CORE,Other,25.0,115,Notify,0,IS_GENUINE,OEM:DM,,0.0,Retail,0.0,628.0,26077.0,1,0.0,0.0,1,0,0.0,0.0,3.0,0
7648b241da366dfe7f053cf9106084b3,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1552.0,0,7.0,0,,53447.0,1.0,1.0,1,57,3923.0,18.0,76.0,-34,windows10,x64,10.0.0.0,15063,256,rs2,15063.0.amd64fre.rs2_release.170317-1834,Pro,1.0,0,,0.0,105.0,,1.0,0.0,Notebook,Windows.Desktop,2668.0,172133.0,8.0,5.0,3104.0,,1907729.0,HDD,1880852.0,0,8192.0,Notebook,15.5,1920.0,1080.0,Mobile,,0.0,10.0.15063.502,amd64,rs2_release,15063,502,Professional,PROFESSIONAL,Other,9.0,34,Notify,0,IS_GENUINE,OEM:DM,,0.0,Retail,,628.0,16099.0,1,,0.0,0,0,0.0,0.0,10.0,1
18b589d76160c94c6f10fd09cc1492e6,win8defender,1.1.14003.0,4.10.14393.1593,1.249.1269.0,0,7.0,0,1622.0,53447.0,1.0,1.0,1,29,143155.0,18.0,35.0,-85,windows10,x86,10.0.0.0,14393,256,rs1,14393.1593.x86fre.rs1_release.170731-1934,Pro,1.0,0,,,103.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,2472.0,256362.0,2.0,5.0,3500.0,,476940.0,HDD,149450.0,0,1024.0,Desktop,15.0,1024.0,768.0,Desktop,,,10.0.14393.1593,x86,rs1_release,14393,1593,Professional,PROFESSIONAL,Update,26.0,119,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,,,0,0.0,0.0,0,0,0.0,0.0,10.0,1
0a507995f0035603df4308e849acd77d,win8defender,1.1.15000.2,4.10.14393.0,1.271.44.0,0,7.0,0,,53447.0,1.0,1.0,1,199,150207.0,,89.0,88,windows10,x86,10.0.0.0,14393,256,rs1,14393.206.x86fre.rs1_release.160915-0644,Pro,1.0,0,,0.0,94.0,RequireAdmin,1.0,1.0,Notebook,Windows.Desktop,2206.0,249159.0,2.0,5.0,3268.0,,305245.0,HDD,149900.0,0,3072.0,Notebook,15.5,1366.0,768.0,Mobile,,4294967300.0,10.0.14393.222,x86,rs1_release,14393,222,Professional,PROFESSIONAL,Update,14.0,49,FullAuto,0,IS_GENUINE,Retail,0.0,0.0,Retail,0.0,500.0,15275.0,0,0.0,0.0,0,0,0.0,0.0,11.0,0
ebc9f894a9417778a21130bbcb86d741,win8defender,1.1.15200.1,4.18.1807.18075,1.275.300.0,0,7.0,0,,53447.0,1.0,1.0,1,205,113755.0,,211.0,-74,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,,1.0,1.0,Desktop,Windows.Desktop,4916.0,317708.0,2.0,5.0,2068.0,,76319.0,UNKNOWN,75768.0,0,4096.0,Desktop,13.3,1024.0,768.0,Desktop,,4294967300.0,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Other,29.0,125,FullAuto,0,INVALID_LICENSE,Retail,,0.0,Retail,,142.0,11778.0,0,,0.0,0,0,0.0,0.0,3.0,1
b28726724367c71ab018717e6d7879b7,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1504.0,0,7.0,0,,53447.0,1.0,1.0,1,85,145160.0,,277.0,75,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,ExistsNotSet,1.0,1.0,Desktop,Windows.Desktop,2206.0,231666.0,4.0,5.0,2494.0,,476940.0,HDD,49538.0,0,4096.0,MiniTower,17.1,1440.0,900.0,Workstation,,4294967300.0,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,8.0,31,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,500.0,40951.0,0,,0.0,0,0,0.0,1.0,10.0,1
c9653118faa565f8076abe8a3d4b348e,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1179.0,0,7.0,0,,43927.0,2.0,1.0,1,41,84592.0,,52.0,-39,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1.0,0,,0.0,137.0,,1.0,1.0,Notebook,Windows.Desktop,2206.0,228726.0,2.0,5.0,1985.0,,476940.0,HDD,451125.0,0,4096.0,Notebook,14.0,1366.0,768.0,Mobile,,4294967300.0,10.0.17134.165,amd64,rs4_release,17134,165,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,9.0,34,FullAuto,0,IS_GENUINE,Retail,,0.0,Retail,,554.0,32998.0,1,,0.0,0,0,0.0,0.0,10.0,0
4cbbf441ece7296eecdb8f04f22dbc41,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1695.0,0,7.0,0,,53447.0,1.0,1.0,1,122,117858.0,,89.0,88,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1.0,0,,0.0,137.0,RequireAdmin,1.0,1.0,Desktop,Windows.Desktop,2102.0,230088.0,2.0,5.0,3470.0,,476940.0,HDD,460676.0,1,4096.0,Desktop,20.0,1600.0,900.0,Desktop,,4294967300.0,10.0.17134.285,amd64,rs4_release,17134,285,Professional,PROFESSIONAL,UUPUpgrade,14.0,49,FullAuto,0,IS_GENUINE,OEM:DM,,0.0,Retail,0.0,93.0,19821.0,1,0.0,0.0,0,0,0.0,0.0,11.0,0
ce458da04b3e21bd93f298f9d489d116,win8defender,1.1.15200.1,4.18.1807.18075,1.275.847.0,0,7.0,0,,53447.0,1.0,1.0,1,141,56198.0,27.0,167.0,-29,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1.0,0,,0.0,137.0,ExistsNotSet,0.0,1.0,AllInOne,Windows.Desktop,2668.0,210506.0,2.0,5.0,1973.0,,114473.0,SSD,113922.0,0,4096.0,AllinOne,19.5,1600.0,900.0,Desktop,,4294967300.0,10.0.17134.228,amd64,rs4_release,17134,228,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,10.0,35,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,628.0,50146.0,0,,0.0,0,0,0.0,0.0,10.0,1
b670d4f1ed4bbf4f7fd81124b4443014,win8defender,1.1.15100.1,4.18.1807.18075,1.273.781.0,0,7.0,0,,53447.0,1.0,1.0,1,214,61668.0,27.0,277.0,75,windows10,x64,10.0.0.0,16299,768,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Home,1.0,0,,0.0,117.0,,1.0,1.0,Notebook,Windows.Desktop,525.0,331205.0,2.0,5.0,2096.0,,476940.0,HDD,239710.0,0,4096.0,Notebook,15.5,1366.0,768.0,Mobile,,122.0,10.0.16299.431,amd64,rs3_release_svc_escrow,16299,431,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,8.0,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0.0,Retail,,142.0,69873.0,1,,0.0,0,0,0.0,0.0,1.0,1
